stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,stop_url
de:06633:203681::B,,Wesertal-Gieselwerder Neustadtstraße,,51.598235,9.544506,0,de:06633:203681PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203681::B
de:06633:203682::A,,Wesertal-Gieselwerder Rathaus,,51.599618,9.550455,0,de:06633:203682PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203682::A
de:06633:203682::B,,Wesertal-Gieselwerder Rathaus,,51.599619,9.550137,0,de:06633:203682PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203682::B
de:06633:203683::A,,Wesertal-Oedelsheim Mitte,,51.590635,9.595367,0,de:06633:203683PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203683::A
de:06633:203684::A,,Wesertal-Gottstreu Mitte,,51.57772,9.58622,0,de:06633:203684PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203684::A
de:06633:203787::A,,Trendelburg-Gottsbüren Abzw. Helmarshäuser Str.,,51.583682,9.50861,0,de:06633:203787PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203787::A
de:06633:203787::B,,Trendelburg-Gottsbüren Abzw. Helmarshäuser Str.,,51.583914,9.506997,0,de:06633:203787PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203787::B
de:06633:203809::A,,Trendelburg-Gottsbüren Sababurger Straße,,51.578467,9.500848,0,de:06633:203809PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203809::A
de:06633:203809::B,,Trendelburg-Gottsbüren Sababurger Straße,,51.578097,9.501061,0,de:06633:203809PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203809::B
de:06633:203913::A,,Wesertal-Vernawahlshausen Schwülmebrücke,,51.626699,9.621735,0,de:06633:203913PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203913::A
de:06633:203912::A,,Wesertal-Vernawahlshausen Trift,,51.621311,9.621427,0,de:06633:203912PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203912::A
de:06633:203688::A,,Wesertal-Heisebeck Kirche,,51.585627,9.656332,0,de:06633:203688PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203688::A
de:06633:203689::A,,Wesertal-Heisebeck Hessenbachweg,,51.584945,9.657779,0,de:06633:203689PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203689::A
de:06633:203690::A,,Wesertal-Heisebeck Lichtenberg,,51.58764,9.65239,0,de:06633:203690PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203690::A
de:06633:201321::A,,Hofgeismar-Sababurg Bensdorf,,51.55424,9.5285,0,de:06633:201321PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:201321::A
de:06633:201321::B,,Hofgeismar-Sababurg Bensdorf,,51.554223,9.528401,0,de:06633:201321PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:201321::B
de:06633:203909::A,,Wesertal-Lippoldsberg Kreissparkasse,,51.622496,9.554349,0,de:06633:203909PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203909::A
de:06633:203049::A,,Bad Karlshafen Hafenplatz,,51.642626,9.451428,0,de:06633:203049PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203049::A
de:06633:203049::B,,Bad Karlshafen Hafenplatz,,51.642493,9.450964,0,de:06633:203049PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203049::B
de:06633:201423::A,,Bad Karlshafen Wiesenfeld,,51.652558,9.493958,0,de:06633:201423PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:201423::A
de:06633:201423::B,,Bad Karlshafen Wiesenfeld,,51.65398,9.492157,0,de:06633:201423PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:201423::B
