"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
"de:06633:203461::C","de:06633:203461::C",2,60,,,,
"de:06633:203461::C","de:06633:203461::A",2,60,,,,
"de:06633:203461::C","de:06633:203461::B",2,60,,,,
"de:06534:13407:1:1","de:06534:13407:1:1",2,180,,,,
"de:06535:11190:5:6","de:06535:11190:5:6",2,180,,,,
"de:06535:19417:1:1","de:06535:19417:2:2",2,180,,,,
"de:06535:19417:2:2","de:06535:19417:1:1",2,180,,,,
"de:06535:19421:1:1","de:06535:19421:2:2",2,180,,,,
"de:06535:19421:2:2","de:06535:19421:1:1",2,180,,,,
"de:06535:19940:1:1","de:06535:19940:1:1",2,180,,,,
"de:06535:27014:2:2","de:06535:27014:1:1",2,180,,,,
"de:06535:27014:1:1","de:06535:27014:2:2",2,180,,,,
"de:06631:22171:1:1","de:06631:22171:2:2",2,180,,,,
"de:06631:22171:2:2","de:06631:22171:1:1",2,180,,,,
"de:06631:20539:1:1","de:06631:20539:2:2",2,180,,,,
"de:06631:20539:2:2","de:06631:20539:1:1",2,180,,,,
"de:06631:22174:1:1","de:06631:22174:1:2",2,180,,,,
"de:06631:22174:1:2","de:06631:22174:1:1",2,180,,,,
"de:06534:11086:1:1","de:06534:11086:1:1",2,180,,,,
"de:06534:11086:1:1","de:06534:11086",2,180,,,,
"de:06534:20054:1:1","de:06534:20054:2:2",2,180,,,,
"de:06534:20055:2:2","de:06534:20055:1:1",2,180,,,,
"de:06534:20053:1:1","de:06534:20053:2:2",2,180,,,,
"de:06534:20053:2:2","de:06534:20053:1:1",2,180,,,,
"de:06534:20054:2:2","de:06534:20054:1:1",2,180,,,,
"de:06534:20055:1:1","de:06534:20055:2:2",2,180,,,,
"de:06611:200001::A","de:06611:200001::A",2,180,,,,
"de:06611:200001::A","de:06611:200001::B",2,180,,,,
"de:06611:200001::A","de:06611:200001::C",2,180,,,,
"de:06611:200001::A","de:06611:200001::D",2,180,,,,
"de:06611:200001::A","de:06611:200001::4",2,360,,,,
"de:06611:200001::A","de:06611:200001::5",2,360,,,,
"de:06611:200001::A","de:06611:200001::6",2,360,,,,
"de:06611:200001::A","de:06611:200001",2,180,,,,
"de:06611:200001::B","de:06611:200001::A",2,180,,,,
"de:06611:200001::B","de:06611:200001::B",2,180,,,,
"de:06611:200001::B","de:06611:200001::C",2,180,,,,
"de:06611:200001::B","de:06611:200001::D",2,180,,,,
"de:06611:200001::B","de:06611:200001::4",2,360,,,,
"de:06611:200001::B","de:06611:200001::5",2,360,,,,
"de:06611:200001::B","de:06611:200001::6",2,360,,,,
"de:06611:200001::B","de:06611:200001",2,180,,,,
"de:06611:200001::C","de:06611:200001::A",2,180,,,,
"de:06611:200001::C","de:06611:200001::A",2,300,"de:nvv:14:","de:nvv:10:",,
"de:06611:200001::C","de:06611:200001::B",2,180,,,,
"de:06611:200001::C","de:06611:200001::C",2,180,,,,
"de:06611:200001::C","de:06611:200001::D",2,180,,,,
"de:06611:200001::C","de:06611:200001::4",2,360,,,,
"de:06611:200001::C","de:06611:200001::5",2,360,,,,
"de:06611:200001::C","de:06611:200001::6",2,360,,,,
"de:06611:200001::C","de:06611:200001",2,180,,,,
"de:06611:200001::D","de:06611:200001::A",2,180,,,,
"de:06611:200001::D","de:06611:200001::B",2,180,,,,
"de:06611:200001::D","de:06611:200001::C",2,180,,,,
